"sci_name","comm_name","year","catch_mt","value_usd","name_label"
"Lutjanus analis","Mutton snapper",1972,636.2785841028,1829134.22430671,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1973,636.1726567568,2104869.47991511,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1974,650.8978647745,1926345.89965542,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1975,657.5344187787,1860444.98038751,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1976,680.2890481921,1927418.74145434,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1977,720.9497705563,2573778.42473959,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1978,703.6339865644,2695729.4585285,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1979,682.4075976137,2278808.72961289,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1980,695.3020252093,2099262.13222981,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1981,684.3948527522,2121442.6788958,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1982,703.5581827311,2069828.77433656,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1983,727.5578966116,2118053.45257324,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1984,692.767966946,2151102.72987707,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1985,694.3570693503,2152334.02007569,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1986,714.8415645538,2586293.20634746,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1987,723.9405103151,2434063.91322349,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1988,714.9848895935,2328758.69428751,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1989,694.283232022,3215563.76342814,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1990,691.2152613232,2324827.18899728,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1991,676.1547206412,2460765.03487475,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1992,659.3822979166,1842076.76275173,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1993,642.3904678757,1766199.91540578,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1994,624.766661807,1810391.97881834,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1995,622.1553418027,1698925.81341386,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1996,656.1857523203,1960805.07848302,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1997,584.8146279472,1666483.67009576,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1998,565.9292812345,1560702.79391013,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1999,546.4768033407,1540182.57186024,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2000,498.5683340296,1384237.58680833,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2001,462.6457214214,1213135.73133947,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2002,437.5923402559,1123182.26268952,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2003,404.618832691,996445.088416138,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2004,372.0145735096,862257.982582375,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2005,342.7099884078,839947.567878613,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2006,313.6291775687,813260.843332361,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2007,285.0461440308,727804.328907855,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2008,247.9640800444,636623.227070119,"Mutton snapper
(Lutjanus analis)"
