"sci_name","comm_name","year","gear_type","catch_mt","value_usd","name_label"
"Lutjanus apodus","Schoolmaster snapper",2009,"subsistence fishing gear",13.2411249849,12575.1081549203,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2010,"small scale hand lines",8.4095400222,8637.30176717124,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2010,"subsistence fishing gear",14.6425383068,15039.1129194086,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2011,"small scale hand lines",9.3811798429,15108.391591095,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2011,"subsistence fishing gear",15.8941519564,25597.5341894308,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2012,"small scale hand lines",10.3803103621,17090.5108375671,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2012,"subsistence fishing gear",17.0638713212,28094.5624527512,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2013,"small scale hand lines",11.407973191,22641.4280750406,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2013,"subsistence fishing gear",18.1388423966,36000.1981607244,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2014,"small scale hand lines",12.4652631414,25965.2072324305,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2014,"subsistence fishing gear",19.1055531768,39796.9655272275,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2015,"small scale hand lines",13.5712938679,30990.4223644871,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2015,"subsistence fishing gear",19.9496027952,45555.4660183689,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2016,"small scale hand lines",14.6731590608,38593.6003141239,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2016,"subsistence fishing gear",20.6559524823,54329.6485038152,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2017,"small scale hand lines",15.8260850542,47320.2276045614,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2017,"subsistence fishing gear",21.2085924613,63414.004095016,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2018,"small scale hand lines",17.0131758925,44822.684940519,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2018,"subsistence fishing gear",21.5907085058,56882.5909467896,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2019,"small scale hand lines",18.2434362631,48063.9124066434,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus apodus","Schoolmaster snapper",2019,"subsistence fishing gear",21.4051797531,56393.7993842945,"Schoolmaster snapper
(Lutjanus apodus)"
"Lutjanus griseus","Grey snapper",1950,"small scale pole lines",14.5946914596,16569.410542058,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1950,"subsistence fishing gear",15.8266641188,17968.0739412415,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1951,"small scale pole lines",14.9362626611,17272.1162952299,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1951,"subsistence fishing gear",16.0441511768,18553.2653831051,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1952,"small scale pole lines",15.2754996496,19696.1194479153,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1952,"subsistence fishing gear",16.2457548176,20947.1594873893,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1953,"small scale pole lines",15.6124024251,21034.5599676727,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1953,"subsistence fishing gear",16.4314750415,22138.0949392555,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1954,"small scale pole lines",17.4064401336,23623.5308191259,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1954,"subsistence fishing gear",16.6013118482,22530.8333625147,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1955,"small scale pole lines",16.2792053371,22174.7966320541,"Grey snapper
(Lutjanus griseus)"
