sci_name,comm_name,year,gear_type,catch_mt,value_usd,name_label
Gerres cinereus,Yellow fin mojarra,1959,subsistence fishing gear,12.33781198,1.027624157,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1960,small scale gillnets,12.83464289,1.069344032,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1960,subsistence fishing gear,12.39123993,1.032401024,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1961,small scale gillnets,12.53967395,1.115569936,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1961,subsistence fishing gear,12.52413081,1.114187167,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1962,small scale gillnets,13.30905774,1.2579489,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1962,subsistence fishing gear,12.62466994,1.19326176,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1963,small scale gillnets,13.55356565,1.408248216,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1963,subsistence fishing gear,12.71130514,1.320735315,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1964,small scale gillnets,13.7962746,1.48074622,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1964,subsistence fishing gear,12.78403641,1.372103277,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1965,small scale gillnets,14.0371846,1.522061092,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1965,subsistence fishing gear,12.84286374,1.392560102,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1966,small scale gillnets,14.30777969,1.920634137,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1966,subsistence fishing gear,12.86028269,1.726326411,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1967,small scale gillnets,14.57637398,2.046624126,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1967,subsistence fishing gear,12.86449699,1.806264709,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1968,small scale gillnets,15.88912134,2.694642554,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1968,subsistence fishing gear,12.85550664,2.180170603,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1969,small scale gillnets,15.10756021,3.417663936,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1969,subsistence fishing gear,12.83331164,2.903178657,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1970,small scale gillnets,15.37015214,4.082873266,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1970,subsistence fishing gear,12.79791199,3.399592419,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1971,small scale gillnets,15.39907083,5.704780324,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1971,subsistence fishing gear,12.79056813,4.738427545,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1972,small scale gillnets,14.38395963,8.885061345,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1972,subsistence fishing gear,12.77066793,7.888521027,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1973,small scale gillnets,14.41189547,19.43628789,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1973,subsistence fishing gear,12.7382114,17.17911045,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1974,small scale gillnets,15.08533989,29.84008283,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1974,subsistence fishing gear,12.69319854,25.10822418,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1975,small scale gillnets,15.42613904,45.95033714,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1975,subsistence fishing gear,12.63562934,37.63815602,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1976,small scale gillnets,16.46736984,50.38609917,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1976,subsistence fishing gear,12.5655038,38.44734931,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1977,small scale gillnets,18.28534,81.69742368,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1977,subsistence fishing gear,12.48282193,55.77224117,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1978,small scale gillnets,17.64158796,119.0989232,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1978,subsistence fishing gear,12.38758373,83.62897299,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1979,small scale gillnets,16.84349835,196.6480394,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1979,subsistence fishing gear,12.27978919,143.3666818,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1980,small scale gillnets,17.51414808,335.0595487,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1980,subsistence fishing gear,12.15943831,232.6197023,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1981,small scale gillnets,16.9676717,448.0362237,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1981,subsistence fishing gear,12.24042644,323.2119606,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1982,small scale gillnets,17.728042,483.5138875,"Yellow fin mojarra
(Gerres cinereus)"
Gerres cinereus,Yellow fin mojarra,1982,subsistence fishing gear,12.29789459,335.4122705,"Yellow fin mojarra
(Gerres cinereus)"
